ï»¿Institution,Team Number,City,State/Province,Country,Advisor,Problem,Ranking
SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,32180,SHANGHAI,SHANGHAI,China,ZHENYU ZHANG,B,Successful Participant
South-Central University for Nationalities,32181,WuHan,HuBei,China,Zuoqing Chen,A,Honorable Mention
Chongqing University,32182,Chongqing,Chongqing,China,Zhou Hongjun,A,Honorable Mention
Southwestern University of Finance and Economics,32183,Chengdu,Sichuan,China,Shaowen Li,C,Honorable Mention
Sun Yat-Sen University,32185,Guangzhou,Guangdong,China,Guocan Feng,D,Honorable Mention
Shenyang jianzhu University,32186,Shenyang,Liaoning,China,Lihui Xu,A,Successful Participant
Shenyang jianzhu University,32187,Shenyang,Liaoning,China,Huanliang Sun,A,Successful Participant
Shenyang jianzhu University,32188,Shenyang,Liaoning,China,Yanli Gu,A,Successful Participant
Shenyang jianzhu University,32189,Shenyang,Liaoning,China,Jingke Xu,A,Successful Participant
Shenyang jianzhu University,32190,Shenyang,Liaoning,China,Jianping Sun,A,Successful Participant
Shenyang jianzhu University,32191,Shenyang,Liaoning,China,Jianchao Wang,A,Successful Participant
Shenyang jianzhu University,32192,Shenyang,Liaoning,China,Fusheng Kou,A,Successful Participant
Shenyang jianzhu University,32193,Shenyang,Liaoning,China,Li Cong,A,Successful Participant
Sun Yat-Sen University,32195,Guangzhou,Guangdong,China,Yanhui Guan,A,Successful Participant
South China Normal University,32196,Guangzhou,,China,Liuqiang Zhong,D,Honorable Mention
Economics,32197,beijing,beijing,China,Fei Wang,A,Meritorious
East China University Of Science And Technology,32198,Shanghai,Shanghai,China,Yan Qin,A,Honorable Mention
Beijing National Day School,32199,Beijing,,China,Haonan Zhu,A,Successful Participant
Beijing National Day School,32200,Beijing,,China,Haonan Zhu,B,Honorable Mention
Shenyang Jianzhu University,32201,Shenyang,Liaoning,China,Yanhong Liu,B,Meritorious
Shenyang Jianzhu University,32202,Shenyang,Liaoning,China,Yang Yu,A,Successful Participant
Shenyang Jianzhu University,32203,Shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Shenyang Jianzhu University,32204,Shenyang,Liaoning,China,Zhenxin Lei,B,Successful Participant
Shenyang Jianzhu University,32205,Shenyang,Liaoning,China,Junling Liu,A,Successful Participant
Shenyang Jianzhu University,32206,Shenyang,Liaoning,China,Nan Wu,A,Successful Participant
Shenyang Jianzhu University,32209,Shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Shenyang Jianzhu University,32210,Shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Beijing University of Aeronautics and Astronautics,32211,Beijing,Beijing,China,Beibei Yin,A,Meritorious
Renmin University of China,32212,Beijing,Beijing,China,Yang Li,D,Honorable Mention
school of mathematics,32213,shanghai,shanghai,China,Qinghua Wang,B,Successful Participant
University of International Business and Economics,32214,Beijing,,China,SUMIN HAO,A,Successful Participant
Shandong Institute of Business and Technology,32215,Yantai,Shandong,China,Fanqiu Kong,A,Honorable Mention
Shandong Institute of Business and Technology,32216,Yantai,Shandong,China,Fanqiu Kong,A,Honorable Mention
Shandong Institute of Business and Technology,32217,Yantai,Shandong,China,Fanqiu Kong,A,Honorable Mention
Southwestern University of Finance and Economics,32218,Chengdu,Sichuan,China,Dai Dai,B,Meritorious
Nankai University,32219,Tianjin,Tianjin,China,Yue Li,A,Honorable Mention
Officers College Of CAPF,32220,ChengDu,SiChuan,China,Yingqi Tao,A,Successful Participant
Nankai University,32221,Tianjin,,China,Xuan Guang,B,Successful Participant
"School of Information, Renmin University of China",32222,Beijing,Beijing,China,Wei Xu,C,Meritorious
East China University of Science and Technology,32223,Shanghai,Shanghai,China,Kunping Zhu,A,Successful Participant
Panzhihua University,32224,Pan Zhihua,SiChuan,China,Liang liang Ma,B,Successful Participant
Southwestern University of Finance and Economics,32225,Chengdu,Sichuan,China,Shaowen Li,A,Successful Participant
Peking University,32226,Beijing,,China,Dong Zijing,A,Successful Participant
Peking University,32227,Beijing,,China,Dong Zijing,D,Meritorious
Peking University,32228,Beijing,,China,Dong Zijing,B,Honorable Mention
Peking University,32229,Beijing,,China,Dong Zijing,A,Honorable Mention
Peking University,32230,Beijing,,China,Dong Zijing,D,Honorable Mention
Peking University,32231,Beijing,,China,Dong Zijing,B,Meritorious
Peking University,32232,Beijing,,China,Dong Zijing,A,Honorable Mention
Peking University,32233,Beijing,,China,Dong Zijing,A,Honorable Mention
Peking University,32234,Beijing,,China,Dong Zijing,B,Honorable Mention
Peking University,32235,Beijing,,China,Dong Zijing,B,Honorable Mention
Peking University,32236,Beijing,,China,Shao Linlin,A,Successful Participant
Peking University,32237,Beijing,,China,Shao Linlin,A,Successful Participant
Peking University,32238,Beijing,,China,Shao Linlin,C,Meritorious
Peking University,32239,Beijing,,China,Shao Linlin,C,Successful Participant
Peking University,32240,Beijing,,China,Shao Linlin,A,Successful Participant
Peking University,32241,Beijing,,China,Shao Linlin,A,Successful Participant
Peking University,32242,Beijing,,China,Shao Linlin,C,Honorable Mention
Donghua University,32243,Shanghai,Shanghai,China,Liangjian Hu,B,Successful Participant
Peking University,32244,Beijing,,China,Shao Linlin,A,Honorable Mention
Peking University,32245,Beijing,,China,Shao Linlin,C,Honorable Mention
Peking University,32246,Beijing,,China,Shao Linlin,B,Meritorious
Peking University,32247,Beijing,,China,Liu Yulong,A,Successful Participant
Peking University,32248,Beijing,,China,Liu Yulong,A,Successful Participant
Peking University,32249,Beijing,,China,Liu Yulong,B,Honorable Mention
Peking University,32250,Beijing,,China,Liu Yulong,A,Honorable Mention
Peking University,32251,Beijing,,China,Liu Yulong,A,Honorable Mention
Peking University,32252,Beijing,,China,Liu Yulong,B,Honorable Mention
Peking University,32253,Beijing,,China,Liu Yulong,B,Honorable Mention
Peking University,32254,Beijing,,China,Liu Yulong,A,Successful Participant
Peking University,32255,Beijing,,China,Liu Yulong,D,Honorable Mention
Peking University,32256,Beijing,,China,Liu Yulong,B,Successful Participant
Peking University,32257,Beijing,,China,Gao Dongxu,A,Successful Participant
Peking University,32258,Beijing,,China,Gao Dongxu,A,Successful Participant
Peking University,32259,Beijing,,China,Gao Dongxu,D,Meritorious
Peking University,32260,Beijing,,China,Gao Dongxu,A,Successful Participant
Peking University,32261,Beijing,,China,Gao Dongxu,A,Successful Participant
Peking University,32262,Beijing,,China,Gao Dongxu,B,Successful Participant
Peking University,32263,Beijing,,China,Gao Dongxu,D,Honorable Mention
Peking University,32264,Beijing,,China,Gao Dongxu,A,Successful Participant
Peking University,32265,Beijing,,China,Gao Dongxu,A,Honorable Mention
Peking University,32266,Beijing,,China,Gao Dongxu,B,Successful Participant
Sun Yat-Sen University,32267,Guangzhou,Guangdong,China,Yanhui Guan,D,Meritorious
Shandong Institute of Business and Technology,32268,Yantai,Shandong,China,Fanqiu Kong,A,Successful Participant
Shandong Institute of Business and Technology,32269,Yantai,Shandong,China,Fanqiu Kong,B,Successful Participant
University of science and technology of China,32270,Hefei,Anhui,China,Wei Zhang,A,Successful Participant
Beijing Normal University,32271,Beijing,China,China,Yingzhe Wang,A,Successful Participant
Shenyang Jianzhu University,32272,Shenyang,Liaoning,China,Yazhen Sun,A,Successful Participant
Shenyang Jianzhu University,32273,Shenyang,Liaoning,China,Qicheng Xu,B,Successful Participant
Shenyang Jianzhu University,32274,Shenyang,Liaoning,China,Shuxian Miao,A,Successful Participant
East China Institute of Technology,32276,Nanchang,Jiangxi,China,Zewen Wang,A,Successful Participant
Fudan University,32277,Shanghai,,China,Yuan Cao,B,Successful Participant
East China University Of Science And Technology,32278,Shanghai,Shanghai,China,Meng Zhang,A,Successful Participant
Sun Yat-Sen University,32279,Guangzhou,Guangdong,China,Zhihong Luo,A,Successful Participant
Sun Yat-Sen University,32280,Guangzhou,Guangdong,China,Zhihong Luo,A,Honorable Mention
Sun Yat-Sen University,32281,Guangzhou,Guangdong,China,Zhenglu Jiang,A,Honorable Mention
Shenyang Jianzhu University,32282,Shenyang,Liaoning,China,Changchun Sun,A,Successful Participant
Shenyang Jianzhu University,32283,Shenyang,Liaoning,China,Changchun Sun,A,Honorable Mention
Shenyang Jianzhu University,32284,Shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Shenyang Jianzhu University,32285,Shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Shenyang Jianzhu University,32286,shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Guangdong University of Foreign Studies,32287,Guangzhou,Guangdong,China,Zhenguo Xu,A,Honorable Mention
Capital University of Economics and Business,32288,Beijing,,China,Tao Ren,A,Successful Participant
Capital University of Economics and Business,32289,Beijing,,China,Jiangrong Chen,D,Honorable Mention
Capital University of Economics and Business,32291,Beijing,,China,Tao Ren,B,Successful Participant
Capital University of Economics and Business,32292,Beijing,,China,Jiangrong Chen,B,Successful Participant
Capital University of Economics and Business,32293,Beijing,,China,Tao Ren,B,Successful Participant
Capital University of Economics and Business,32294,Beijing,,China,Jiangrong Chen,A,Successful Participant
Capital University of Economics and Business,32295,Beijing,,China,Tao Ren,A,Successful Participant
Institute of Microelectronics,32296,Beijing,Beijing,China,Yacong Zhang,A,Honorable Mention
"Nankai university ,China",32297,Tianjing,Tianjing,China,Hanzhi Zhang,A,Honorable Mention
Tongji University,32298,SHANGHAI,,China,JUNFENG YIN,A,Successful Participant
Lanzhou university,32299,lanzhou,Gansu,China,wenyu zhang,B,Successful Participant
Capital University of Economics and Business,32300,Beijing,,China,Jiangrong Chen,A,Honorable Mention
Nanjing University,32301,"Haian,Nantong",Jiangsu,China,Dong Zhang,A,Honorable Mention
Xi'an University of Posts and Telecommunications,32302,Xi'an,Shaanxi,China,Xie Xie,B,Successful Participant
South China Normal University,32303,Guangzhou,Guangdong,China,Taishan Zeng,A,Honorable Mention
Southern Medical University,32304,Guangzhou,Guangdong Province,China,Shu long Li,B,Successful Participant
Harbin Institute of Technology,32305,Harbin,Heilongjiang,China,XiLian Wang,A,Honorable Mention
Shenyang Jianzhu University,32306,Shenyang,Liaoning,China,Xin Jing,A,Successful Participant
Shenyang Jianzhu University,32307,Shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Shenyang Jianzhu University,32308,Shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Shenyang Jianzhu University,32309,Shenyang,Liaoning,China,Changchun Sun,A,Successful Participant
Shenyang Jianzhu University,32310,Shenyang,Liaoning,China,Shuxian Miao,A,Successful Participant
Shenyang Jianzhu University,32311,Shenyang,Liaoning,China,Shuxian Miao,A,Honorable Mention
Wuhan University,32312,Wuhan,,China,Yuanming Hu,D,Honorable Mention
South China Normal University,32313,Guangzhou,Guangdong,China,Liuqiang Zhong,A,Honorable Mention
Sichuan University,32314,Chengdu,Chengdu,China,Luo Kun,A,Successful Participant
Dalian Maritime University,32315,Dalian,Liaoning,China,Guoyan Chen,B,Successful Participant
Dalian Maritime University,32316,Dalian,Liaoning,China,Guoyan Chen,B,Successful Participant
Dalian Maritime University,32317,Dalian,Liaoning,China,Guoyan Chen,A,Honorable Mention
Dalian Maritime University,32318,Dalian,Liaoning,China,Guoyan Chen,D,Meritorious
Dalian Maritime University,32319,Dalian,Liaoning,China,Guoyan Chen,A,Honorable Mention
Dalian Maritime University,32320,Dalian,Liaoning,China,Guoyan Chen,B,Successful Participant
Dalian Maritime University,32321,Dalian,Liaoning,China,Guoyan Chen,B,Successful Participant
TongJi university,32322,ShangHai,,China,Debo Fu,A,Successful Participant
Zhejiang University,32323,Hangzhou,Zhejiang,China,Xiangguan Liu,B,Honorable Mention
Tongji University,32324,Shanghai,Shanghai,China,Meisong Tong,A,Honorable Mention
Sichuan University,32325,Chengdu,Sichuan,China,Yongdao Zhou,B,Successful Participant
Wuhan University,32326,Wuhan,Hubei,China,XUMING YI,A,Honorable Mention
Zhongnan University of Economics and Law,32327,Wuhan,Hubei,China,Zhongming Ma,D,Meritorious
ZUEL,32328,wuhan,hubei,China,feng Jiang,A,Honorable Mention
Capital University of Economics and Business,32329,Beijing,,China,Jiangrong Chen,D,Honorable Mention
Capital University of Economics and Business,32330,Beijing,,China,Jiangrong Chen,D,Successful Participant
Capital University of Economics and Business,32331,Beijing,,China,Jiangrong Chen,A,Successful Participant
Capital University of Economics and Business,32332,Beijing,,China,Jiangrong Chen,A,Successful Participant
Capital University of Economics and Business,32333,Beijing,,China,Jiangrong Chen,A,Honorable Mention
Capital University of Economics and Business,32334,Beijing,,China,Jiangrong Chen,D,Honorable Mention
Wuhan University,32335,Wuhan,Hubei,China,HUI PENG,B,Meritorious
Capital University of Economics and Business,32336,Beijing,,China,Tao Ren,A,Successful Participant
Capital University of Economics and Business,32337,Beijing,,China,Tao Ren,A,Successful Participant
Capital University of Economics and Business,32338,Beijing,,China,Tao Ren,D,Successful Participant
Capital University of Economics and Business,32339,Beijing,,China,Tao Ren,D,Successful Participant
East China Normal University,32340,Shanghai,,China,Yongming Liu,B,Successful Participant
BNU-HKBU United International College,32341,Zhuhai,Guangdong,China,Ming Ying Lisa Chu,A,Honorable Mention
BNU-HKBU United International College,32342,Zhuhai,Guangdong,China,Ming Ying Lisa Chu,A,Successful Participant
BNU-HKBU United International College,32343,Zhuhai,Guangdong,China,Ming Ying Lisa Chu,A,Successful Participant
Panzhihua University,32344,Pan Zhihua,SiChuan,China,Liang liang Ma,A,Honorable Mention
Tongji University,32345,Shanghai,,China,Jun Wang,A,Successful Participant
Sun Yat-Sen University,32346,Guangzhou,Guangdong,China,Jiajun Zhang,D,Honorable Mention
Shanxi University,32347,"Taiyuan, Shanxi",,China,Shunyong Li,A,Honorable Mention
Shanxi University,32348,"Taiyuan , Shanxi",,China,Chengbo Zhai,B,Successful Participant
"FuYang Normal College, AnHui, China.",32349,FuYang,,China,Chun-Song Bai,B,Honorable Mention
"FuYang Normal College, AnHui, China.",32350,FuYang,,China,Xu Chuan You,A,Successful Participant
"Fuyang Normal College, Anhui province, China.",32351,Fuyang,yingzhou,China,Tang Jian,A,Successful Participant
"Fuyang Normal College, Anhui province, China.",32352,FuYang,yingzhou,China,ge xin tong,A,Successful Participant
Sun Yat-Sen University,32353,Guangzhou,Guangdong,China,Jiajun Zhang,D,Successful Participant
Shanghai Jiao Tong University,32354,Shanghai,Shanghai,China,Duping Yuan,A,Honorable Mention
Shanghai Jiao Tong University,32355,Shang Hai,Shang Hai,China,Jinglai Li,B,Meritorious
Peking University,32356,Beijing,Beijing,China,Qian Guan,A,Successful Participant
Capital University of Economics and Business,32357,Beijing,,China,Tao Ren,D,Successful Participant
Capital University of Economics and Business,32358,Beijing,,China,Tao Ren,C,Successful Participant
Southwestern University of Finance and Economics,32359,Chengdu,Sichuan,China,Yunlong Sun,B,Honorable Mention
Capital University of Economics and Business,32360,Beijing,,China,Tao Ren,D,Successful Participant
Capital University of Economics and Business,32361,Beijing,,China,Tao Ren,B,Successful Participant
Capital University of Economics and Business,32362,Beijing,,China,Tao Ren,B,Successful Participant
Xi'an University of Posts and Telecommunications,32363,Xi'an,Shaanxi,China,Xiao-Jia Liu,A,Successful Participant
Xi'an University of Posts and Telecommunications,32364,Xi'an,Shaanxi,China,Chang-Xing Li,A,Honorable Mention
Shanxi University,32365,"Taiyuan, Shanxi,",,China,Yijun He,B,Successful Participant
Shanghai Jiao Tong University,32366,shanghai,shanghai,China,xiaomin wang,A,Successful Participant
Shanxi University,32367,"Taiyuan,Shanxi",,China,Di Liu,B,Successful Participant
South China Normal University,32368,Guangzhou,,China,Liling Xie,A,Meritorious
Sun Yat-Sen University,32369,Guangzhou,Guangdong,China,Zhenglu Jiang,B,Honorable Mention
North China Electric Power University,32370,Baoding,Hebei Province,China,Xiaohong Zhang,A,Successful Participant
Hainan University,32371,HaiKou,HaiNan,China,Xin Wang,A,Successful Participant
BeiJing University Of Post And Telecommunication,32372,Beijing,Beijing,China,wanyi li,A,Successful Participant
School of Electrical Engineering,32373,Wuhan,Hubei,China,Tao Ding,B,Successful Participant
Shanghai Jiao Tong University,32374,shanghai,shanghai,China,xiaomin wang,A,Successful Participant
Sacred Heart University,32375,Fairfield,CT,USA,Peter Loth,A,Successful Participant
Sacred Heart University,32376,Fairfield,CT,USA,Peter Loth,B,Successful Participant
"School of Engineering,Sun Yat-Sen University",32377,Guangzhou,Guangdong,China,Yanmao Chen,A,Meritorious
South China Normal University,32378,Guangzhou City,Guangdong,China,Zhibin Xiong,A,Successful Participant
WuHan University Of Tecnology,32379,WuHan,HuBei,China,ShuHua Mao,B,Successful Participant
Chongqing University,32380,Chongqing,Chongqing,China,Jian Xiao,A,Successful Participant
University of Science and Technology of China,32381,HeFei,AnHui,China,Jianmei Shuai,B,Successful Participant
Shanghai Jiao Tong University,32382,shanghai,shanghai,China,xiaomin wang,D,Successful Participant
Shandong University of Science and Technology,32383,Qingdao,P.R.China,China,yaosheng Li,A,Honorable Mention
Shenyang Pharmaceutical University,32384,Benxi,Liaoning,China,Xuesen Yang,A,Successful Participant
"School of Reliability and Systems Engineering,Beihang University",32385,Beijing,Beijing,China,Xiaobing Ma,A,Finalist
"School of Information, Renmin University of China",32386,Beijing,Beijing,China,Wei Xu,A,Meritorious
Shanghai Jiao Tong University,32387,shanghai,shanghai,China,xiaomin wang,D,Honorable Mention
University of International Business and Economics,32388,Beijing,,China,Guoliang Yang,A,Successful Participant
Zhejiang University,32389,Hangzhou,Zhejiang,China,Shenghong Li,B,Meritorious
Yunnan Normal University,32390,Kunming,Yunnan Province,China,Baoyun Wang,A,Successful Participant
Beihang Univeristy,32391,Beijing,,China,Shangzhi Li,B,Finalist
BeiJing University Of Post And Telecommunication,32392,Beijing,Beijing,China,LI LIU,A,Meritorious
Columbia University,32393,New York,NY,USA,Ivan Corwin,B,Honorable Mention
South China Agricultural University,32394,Guangzhou,Guangdong,China,weifeng zhang,C,Successful Participant
Shenyang jianzhu University,32395,shenyang,Liaoning,China,Yonghui Wang,A,Successful Participant
Shenyang jianzhu University,32396,Shenyang,Liaoning,China,Yang Li,A,Honorable Mention
Nankai University,32397,Tianjin,Tianjin,China,Chunfu Jia,A,Honorable Mention
Shenyang Jianzhu University,32399,shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Shenyang Jianzhu University,32400,shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
Economics,32401,beijing,beijing,China,Fei Wang,D,Successful Participant
Donghua University,32402,Shanghai,,China,Liang Chen,D,Honorable Mention
Tianjin University of Commerce,32403,Tianjin,Tianjin,China,jian ye an,D,Honorable Mention
Sun Yat-Sen University,32404,Guangzhou,Guangdong,China,Guocan Feng,B,Meritorious
Southwestern University of Finance and Economics,32405,Chengdu,Sichuan,China,Yi Li,A,Honorable Mention
Sun Yat-Sen University,32406,Guangzhou,Guangdong,China,Yanhui Guan,D,Honorable Mention
Sun Yat-Sen University,32407,Guangzhou,Guangdong,China,Yanhui Guan,A,Honorable Mention
Sun Yat-Sen University,32408,Guangzhou,Guangdong,China,Qinghui Zhang,A,Meritorious
